pos,Mean_peakvalue,Mean_peakwidth,Mean_widthhight,Mean_widthleft,Mean_widthright
5208,-0.10811302901895427,116.22057574683276,-0.29154542119999993,5153.0,5269.220575746833
5275,-0.2938875416928104,250.70222154620387,-0.3669142992941177,5107.297778453796,5358.0
5358,0.3669142992941176,133.81663619611936,-0.29388754169281045,5275.0,5408.816636196119
5444,-0.5478888152627451,431.85079060253156,-1.017225819860784,5089.149209397468,5521.0
5521,1.017225819860784,159.32245488125136,-0.5478888152627452,5444.0,5603.322454881251
5605,-0.5510040343535946,146.60069199367535,-0.736738017354902,5539.399308006325,5686.0
5686,0.736738017354902,393.9802276780574,-0.5510040343535946,5605.0,5998.980227678057
5759,-0.17084840452614378,97.32793591433438,-0.19760073690261434,5723.672064085666,5821.0
5821,0.19760073690261434,126.76392590546402,-0.17084840452614378,5759.0,5885.763925905464
5904,-0.1982865329071895,49.76871155328081,0.16167229205882344,5883.231288446719,5933.0
5933,-0.16167229205882344,46.93309785563997,-0.1982865329071895,5904.0,5950.93309785564
6024,-0.6792873304202613,403.467634130694,-0.513007424852941,5708.532365869306,6112.0
6112,0.513007424852941,431.0466465722202,-0.6792873304202613,6024.0,6455.04664657222
6230,-0.6287125515908496,225.52294160966176,-0.2375967334294118,6140.477058390338,6366.0
6366,0.23759673342941173,215.97294683150085,-0.6287125515908496,6230.0,6445.972946831501
6467,-0.6950952911254903,31.757565637119114,0.6909860330986927,6461.242434362881,6493.0
6493,-0.6909860330986927,38.75407456894027,-0.6950952911254903,6467.0,6505.75407456894
6564,-0.8503674824862744,4088.243147241221,-2.8122414406000007,4754.0,8842.24314724122
6741,2.0209681691712413,283.41073514988875,-0.6067839060366014,6597.589264850111,6881.0
6881,-0.6067839060366012,2093.073501744857,-2.0209681691712413,6741.0,8834.073501744857
7079,0.925363250943137,314.1653075281429,-0.5677197024666666,6897.834692471857,7212.0
7212,-0.5677197024666666,227.1417423582834,-0.925363250943137,7079.0,7306.141742358283
7318,0.9915451050431378,219.72883040075976,-0.262619387280392,7252.27116959924,7472.0
7472,-0.2626193872803921,216.7137254740519,-0.9915451050431376,7318.0,7534.713725474052
7555,1.486398398439215,902.2343928711198,-0.5716957169718955,6896.76560712888,7799.0
7650,0.02135617750915032,92.65756996155687,-0.342123523817647,7610.342430038443,7703.0
7703,0.342123523817647,88.74907145219186,0.02135617750915031,7650.0,7738.749071452192
7799,-0.5716957169718954,1273.9053338564318,-1.4863983984392153,7555.0,8828.905333856432
7928,-0.13864283340065353,320.2861517935671,-0.5013016177169933,7817.713848206433,8138.0
8008,-0.34338638435816976,115.98363311790126,0.21308353388169926,7959.016366882099,8075.0
8075,-0.21308353388169926,99.37183068730246,-0.34338638435816976,8008.0,8107.3718306873025
8138,-0.5013016177169933,262.2099788696405,0.13864283340065353,7928.0,8190.2099788696405
8249,0.4896582277712418,8.716056888817548,-0.4960870174692809,8244.0,8252.716056888818
8289,0.7408597446394187,419.9879218546748,-0.31235305321372553,8176.012078145325,8596.0
8303,0.7386879007825558,11.15185613866015,0.7215838660668695,8295.0,8306.15185613866
8384,0.03489547794949287,147.2263346079617,-0.7094711732326798,8307.773665392038,8455.0
8455,0.7094711732326798,145.7812221578297,0.03489547794949288,8384.0,8529.78122215783
8596,-0.3123530532137255,531.1617517414379,-0.7408597446394187,8289.0,8820.161751741438
8706,0.6935034085764705,167.2041116527962,-0.2587107661006536,8617.795888347204,8785.0
8785,-0.2587107661006536,113.41580991326919,-0.6935034085764705,8706.0,8819.41580991327
8864,3.627204402615325,5985.840790109773,-0.8824519051699351,3573.1592098902274,9559.0
9007,-0.6543454778666669,169.8565736525088,-0.4195889314398693,8934.143426347491,9104.0
9104,0.41958893143986936,248.4354323014195,-0.6543454778666669,9007.0,9255.43543230142
9278,-0.7266959463686274,319.362135076135,0.12362282737189545,9153.637864923865,9473.0
9349,-0.2918274147745098,103.76551464085424,-0.5784691558398692,9309.234485359146,9413.0
9413,-0.5784691558398692,100.14268500914477,0.2918274147745098,9349.0,9449.142685009145
9473,-0.1236228273718955,245.52616971927637,-0.7266959463686276,9278.0,9523.526169719276
9559,-0.8824519051699348,1160.5170280021794,-3.6272044026153254,8864.0,10024.51702800218
9691,0.8160695372745097,214.99221557659257,-0.8578645716352942,9568.007784423407,9783.0
9783,-0.8578645716352941,287.6818575714442,-0.8160695372745098,9691.0,9978.681857571444
9871,-0.28040197203464046,78.65689187462522,-0.5078990125437908,9837.343108125375,9916.0
9916,-0.5078990125437908,71.67904424204607,0.28040197203464046,9871.0,9942.679044242046
10036,3.8324426786095773,9618.920714357038,-1.1900795377588227,558.0792856429625,10177.0
10177,-1.1900795377588227,425.693771266926,-3.8324426786095773,10036.0,10461.693771266926
10278,0.282247307096732,74.93169539408518,0.045345148385620926,10253.068304605915,10328.0
10328,0.04534514838562092,78.45996150307474,-0.282247307096732,10278.0,10356.459961503075
10470,3.9393925201075044,792.6646240367336,-1.180400001079085,10184.335375963266,10977.0
10670,-0.8988299071673204,243.70678137514187,-0.9281759723084965,10542.293218624858,10786.0
10786,0.9281759723084965,270.7874830758992,-0.8988299071673204,10670.0,10940.7874830759
10977,-1.1804000010790847,2163.5377420903133,-1.354876816742484,10529.462257909687,12693.0
11087,0.8718072596156862,637.8565977182243,-0.7197905137065362,11029.143402281776,11667.0
11170,-0.7174410190405229,246.11097144027553,-0.5379243054849672,11103.889028559724,11350.0
11350,0.5379243054849672,493.6265220596579,-0.7174410190405229,11170.0,11663.626522059658
11446,-0.5986304304313725,163.44869782893875,-0.155399931675817,11378.551302171061,11542.0
11542,0.155399931675817,189.82268688711338,-0.5986304304313725,11446.0,11635.822686887113
